1,0.0446,0.0678,0.0093,0.1042
2,0.0256,0.0603,0.0258,0.1309
3,0.023,0.0314,0.0117,0.0663
4,0.0407,0.0382,0.0131,0.0817
5,0.0476,0.036,0.0114,0.0829
6,0.0743,0.0386,0.0192,0.0469
7,0.0148,0.0337,0.021,0.0362
8,0.0347,0.0453,0.0104,0.0112
9,0.0406,0.067,0.0143,0.022
10,0.0406,0.067,0.0205,0.0116
11,0.0485,0.0367,0.0104,0.0079
12,0.0354,0.0442,0.0045,0.0125
13,0.0267,0.0411,0.0058,0.0114
14,0.0307,0.0952,0.0031,0.007
15,0.0261,0.0508,0.0146,0.0428
16,0.0394,0.0464,0.0133,0.0385
17,0.037,0.0483,0.0285,0.0416
18,0.0323,0.0457,0.0133,0.0396
19,0.026,0.0658,0.0135,0.0213
20,0.0342,0.0261,0.0093,0.0329
21,0.0369,0.0575,0.0075,0.0197
22,0.0184,0.0525,0.0374,0.0184
23,0.0197,0.0525,0.0172,0.0202
24,0.0142,0.0356,0.0141,0.0362
25,0.0344,0.0555,0.0218,0.0116
26,0.0326,0.0234,0.0075,0.0083
27,0.0325,0.0478,0.0084,0.0108
28,0.0266,0.0335,0.0117,0.0148
29,0.0324,0.0348,0.0049,0.0208
30,0.0605,0.0315,0.0157,0.0135
31,0.0583,0.0421,0.0167,0.0236
32,0.0221,0.0585,0.0118,0.0053
33,0.123,0.0219,0.0087,0.0166
34,0.1541,0.041,0.0099,0.0077
35,0.0511,0.0377,0.0055,0.0153
36,0.0415,0.0333,0.007,0.0216
37,0.0251,0.0455,0.0049,0.0187
38,0.0208,0.0239,0.006,0.0105
39,0.047,0.0348,0.0026,0.0231
40,0.0326,0.0315,0.0037,0.0065
41,0.0285,0.0404,0.011,0.0064
42,0.0282,0.0401,0.0073,0.009
43,0.0405,0.0402,0.011,0.0543
44,0.0355,0.0319,0.0064,0.0135
45,0.0583,0.0874,0.0063,0.0093
46,0.0132,0.0172,0.0042,0.0082
47,0.0182,0.042,0.0062,0.0068
48,0.0271,0.0347,0.0067,0.0084
49,0.1101,0.0186,0.0044,0.0092
50,0.0297,0.0519,0.008,0.0071
