R1 4g,30.80,30.71,30.76,105.09,104.66,104.88,1.03,1.07,1.09,1.06,3.43,,3.9478,1.15
R2 3g,28.92,29.03,28.98,80.55,80.25,80.40,1.19,1.25,1.26,1.23,2.87,,2.4058,0.84
R2 4g,30.92,31.25,31.09,91.07,91.04,91.06,1.02,1.08,1.06,1.05,2.98,,3.3039,1.11
R3 4g,27.84,27.61,27.73,107.56,107.70,107.63,1.26,1.22,1.30,1.26,3.76,,3.3412,0.89
R4 3g,31.20,31.85,31.53,113.10,113.36,113.23,1.11,1.19,1.17,1.16,4.13,,2.6172,0.63
